
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="obesity_f",="obesity_m",="obesity_f",="obesity_m",="obesity_f",="obesity_m",="obesity_f",="obesity_m",="obesity_f",="obesity_m",="obesity_f",="obesity_m",="obesity_f",="obesity_m"

="idv_Hofs",="0.090",="0.116**",="",="",="",="",="",="",="",="",="",="",="",=""
="",="0.051",="0.039",="",="",="",="",="",="",="",="",="",="",="",=""

="idv_BW",="",="",="-0.158*",="0.007",="",="",="",="",="",="",="",="",="",=""
="",="",="",="0.073",="0.054",="",="",="",="",="",="",="",="",="",=""

="autonomy_Schw",="",="",="",="",="-0.093",="0.036",="",="",="",="",="",="",="",=""
="",="",="",="",="",="0.087",="0.067",="",="",="",="",="",="",="",=""

="idv_Minkov",="",="",="",="",="",="",="-0.049",="0.125",="",="",="",="",="",=""
="",="",="",="",="",="",="",="0.124",="0.095",="",="",="",="",="",=""

="idv_Inglehart",="",="",="",="",="",="",="",="",="-0.215**",="-0.069",="",="",="",=""
="",="",="",="",="",="",="",="",="",="0.068",="0.054",="",="",="",=""

="EVI",="",="",="",="",="",="",="",="",="",="",="-0.087",="0.034",="",=""
="",="",="",="",="",="",="",="",="",="",="",="0.073",="0.052",="",=""

="idv_globe",="",="",="",="",="",="",="",="",="",="",="",="",="0.120",="0.085"
="",="",="",="",="",="",="",="",="",="",="",="",="",="0.082",="0.059"

="Constant",="-14.053",="-26.448",="-55.250*",="-57.182**",="-40.206",="-37.886",="-28.330",="-51.902",="-23.158",="-30.078",="-81.622***",="-61.879***",="-84.890*",="-69.093*"
="",="30.874",="23.253",="25.224",="17.591",="31.661",="23.566",="42.088",="32.383",="25.055",="19.515",="23.107",="15.792",="38.323",="27.286"

="Observations",="60",="60",="84",="84",="65",="65",="50",="50",="81",="81",="87",="87",="52",="52"

="Standard errors in second row"
="* p<0.05, ** p<0.01, *** p<0.001"
