
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="obesity_f",="obesity_m",="obesity_f",="obesity_m",="obesity_m",="obesity_f",="obesity_f",="obesity_m",="obesity_f",="obesity_m",="obesity_f",="obesity_m",="obesity_f",="obesity_m"

="idv_Hofs",="0.187**",="0.194***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="0.062",="0.044",="",="",="",="",="",="",="",="",="",="",="",=""

="idv_BW",="",="",="0.056",="0.055",="",="",="",="",="",="",="",="",="",=""
="",="",="",="0.105",="0.084",="",="",="",="",="",="",="",="",="",=""

="idv_Minkov",="",="",="",="",="0.130",="0.089",="",="",="",="",="",="",="",=""
="",="",="",="",="",="0.142",="0.173",="",="",="",="",="",="",="",=""

="autonomy_Schw",="",="",="",="",="",="",="0.120",="0.114",="",="",="",="",="",=""
="",="",="",="",="",="",="",="0.113",="0.089",="",="",="",="",="",=""

="idv_Inglehart",="",="",="",="",="",="",="",="",="-0.080",="-0.014",="",="",="",=""
="",="",="",="",="",="",="",="",="",="0.120",="0.095",="",="",="",=""

="EVI",="",="",="",="",="",="",="",="",="",="",="0.110",="0.114",="",=""
="",="",="",="",="",="",="",="",="",="",="",="0.121",="0.095",="",=""

="idv_globe",="",="",="",="",="",="",="",="",="",="",="",="",="0.156",="0.100"
="",="",="",="",="",="",="",="",="",="",="",="",="",="0.092",="0.074"

="Constant",="19.009",="35.177",="14.395",="36.353",="33.193",="14.070",="16.955",="39.759",="24.886",="44.064",="6.856",="28.261",="19.647",="41.134"
="",="45.464",="31.191",="54.489",="42.845",="42.629",="54.754",="52.358",="40.634",="53.283",="42.281",="54.773",="42.594",="50.507",="40.410"

="Observations",="34",="34",="34",="34",="34",="34",="34",="34",="34",="34",="34",="34",="34",="34"

="Standard errors in second row"
="* p<0.05, ** p<0.01, *** p<0.001"
